id,name,no,price,stock,company
D020056876,,,,庫存=3,
D020061433,,,,已售完，無法購買,
D020064324,,,,,
D020058283,侏羅紀合輯 1-4 (藍光BD),201502BD149,2980,庫存=2,傳訊時代
D020061432,,,,,
D020057031,,,,庫存=3,
D020053714,,,,,
D020064325,,,,庫存=1,
D020059524,,,,,
D020057032,,,,庫存=4,
D020047023,,,,庫存=1,
D020065850,,,,庫存=3,
D020062996,,,,庫存=3,
D020069743,,,,庫存>5,
D020057813,玩命關頭7鐵盒-保羅沃克雙碟版 (藍光BD),201502BD140,1280,庫存=1,傳訊時代
D020063717,,,,庫存=1,
D020066604,,,,已售完，無法購買,
D020061042,,,,庫存=3,
D020060305,,,,庫存=1,
D020057800,侏儸紀公園 1-3 限量鐵盒 (3藍光BD),201502BD138,2520,庫存=2,傳訊時代
D020061883,,,,庫存=3,
D020073028,壞壞萌雪怪 (BD+3D),202002BD357,998,庫存>5,傳訊時代
D020068455,,,,庫存=1,
D020072801,,,,庫存=3,
D020065849,,,,庫存=2,
D020073679,,,,庫存=3,
D020058782,,,,庫存=1,
D020069741,,,,已絕版，無法銷售,
D020075270,,,,庫存>5,
D020069742,,,,庫存=4,
D020075271,,,,庫存>5,
D020074853,,,,庫存=1,
D020066603,,,,庫存=5,
D020075050,,,,庫存=3,
D020075784,,,,庫存>5,
